RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P,S_FEAT,S_AREA
41,41369.60000000000,0.10000000000,177.60200000000,85537.10000000000,200679.00000000000,688,3716.71000000000,20.27110000000,9.80374000000,3434,37951.1075936
42,41369.60000000000,0.10000000000,111.15500000000,85536.50000000000,200711.00000000000,673,3831.69000000000,19.82910000000,10.10700000000,3435,37952.1075936
43,41348.20000000000,0.09994870000,123.27400000000,85532.60000000000,200673.00000000000,708,3847.22000000000,20.86030000000,10.14800000000,3436,37953.1075936
44,41368.40000000000,0.09999750000,118.07400000000,85535.30000000000,200700.00000000000,743,3796.30000000000,21.89160000000,10.01370000000,3437,37954.1075936
45,41400.60000000000,0.10007500000,1.28708000000,85535.20000000000,200680.00000000000,708,3904.17000000000,20.86030000000,10.29820000000,3438,37955.1075936
46,41412.80000000000,0.10010500000,161.19800000000,85541.20000000000,200689.00000000000,723,3795.14000000000,21.30230000000,10.01060000000,3439,37956.1075936
47,41360.90000000000,0.09997930000,170.01500000000,85547.80000000000,200711.00000000000,752,3836.82000000000,22.15670000000,10.12060000000,3440,37957.1075936
48,41399.40000000000,0.10007200000,123.65300000000,85533.30000000000,200689.00000000000,696,3731.35000000000,20.50680000000,9.84237000000,3441,37958.1075936
49,41338.80000000000,0.09992590000,72.00600000000,85550.10000000000,200688.00000000000,695,3755.92000000000,20.47730000000,9.90717000000,3442,37959.1075936
50,41379.70000000000,0.10002500000,149.80200000000,85540.00000000000,200681.00000000000,735,3758.26000000000,21.65590000000,9.91334000000,3443,37960.1075936
51,41378.70000000000,0.10002200000,178.44400000000,85543.70000000000,200702.00000000000,686,3693.21000000000,20.21210000000,9.74176000000,3444,37961.1075936
52,41371.50000000000,0.10000500000,3.64565000000,85542.50000000000,200696.00000000000,686,3740.91000000000,20.21210000000,9.86759000000,3445,37962.1075936
53,41376.30000000000,0.10001700000,55.96340000000,85540.70000000000,200709.00000000000,630,3838.10000000000,18.56220000000,10.12390000000,3446,37963.1075936
54,41364.30000000000,0.09998760000,43.93810000000,85550.40000000000,200674.00000000000,690,3757.92000000000,20.33000000000,9.91245000000,3447,37964.1075936
55,41348.50000000000,0.09994930000,11.91590000000,85550.00000000000,200683.00000000000,654,3807.81000000000,19.26930000000,10.04400000000,3448,37965.1075936
56,41371.80000000000,0.10000600000,147.28400000000,85544.80000000000,200675.00000000000,680,3887.07000000000,20.03540000000,10.25310000000,3449,37966.1075936
57,41369.00000000000,0.09999880000,75.68800000000,85541.50000000000,200721.00000000000,667,3723.29000000000,19.65230000000,9.82112000000,3450,37967.1075936
58,41375.70000000000,0.10001500000,159.63300000000,85545.10000000000,200714.00000000000,678,3824.65000000000,19.97640000000,10.08850000000,3451,37968.1075936
59,41354.70000000000,0.09996430000,136.90700000000,85534.60000000000,200677.00000000000,678,3736.42000000000,19.97640000000,9.85574000000,3452,37969.1075936
60,41365.70000000000,0.09999090000,87.51780000000,85533.30000000000,200717.00000000000,690,3784.71000000000,20.33000000000,9.98312000000,3453,37970.1075936
61,41384.30000000000,0.10003600000,91.94580000000,85542.10000000000,200676.00000000000,649,3689.43000000000,19.12200000000,9.73180000000,3454,37971.1075936
62,41368.80000000000,0.09999860000,80.06720000000,85535.30000000000,200708.00000000000,605,3670.06000000000,17.82560000000,9.68069000000,3455,37972.1075936
